URL,Wilayah,Kecamatan,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Kamar Mandi,Tingkat/Lantai,Harga Jual,Terjual/Belum,Arah Hadap Rumah,Posisi Rumah,Lebar Jalan Depan Rumah (ROW),Carport,"Siap Huni 
(Y/N)","Furnish 
(Y/N)",Watt Listrik,Dekat Pasar,Dekat Sekolah,Dekat Puskesmas/RS,Dekat Mall,Dekat Tempat Ibadah,Dekat Makam,Dekat Club House,Dekat Jalan Raya Utama,Worth-it
,Pusat,Tambaksari,360,200,4,3,1,"Rp2,400,000,000",Belum,Selatan,Tengah,6,0,Y,N,2200,N,Y,N,N,N,N,N,N,Worth-It
,Barat,Dukuh Pakis,135,135,3,2,1,"Rp2,500,000,000",Belum,Selatan,Tengah,6,0,Y,N,4400,N,N,N,N,N,N,N,N,Worth-It
,Timur,Mulyorejo,135,126,3,2,1,"Rp1,750,000,000",Belum,Barat,Tengah,6,0,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Timur,Mulyorejo,162,252,5,4,2,"Rp3,200,000,000",Belum,Timur,Tengah,6,0,Y,Y,3500,N,N,N,N,N,N,N,N,Not Worth-It
,Timur,Mulyorejo,60,100,3,2,2,"Rp1,300,000,000",Belum,Utara,Tengah,6,0,Y,N,2200,N,Y,Y,Y,N,N,N,N,Not Worth-It
,Barat,Lakarsantri,200,300,4,4,2,"Rp2,450,000,000",Belum,Selatan,Tengah,6,0,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Pusat,Tambaksari,360,200,4,3,1,"Rp2,560,000,000",Belum,Selatan,Tengah,6,0,Y,N,2200,N,Y,Y,Y,N,N,N,N,Worth-It
,Barat,Sukomanunggal,306,400,5,3,2,"Rp5,750,000,000",Belum,Barat,Tengah,6,0,Y,N,5500,N,N,N,Y,N,N,N,N,Not Worth-It
,Selatan,Gayungan,275,300,4,2,2,"Rp2,600,000,000",Belum,Utara,Tengah,6,0,Y,N,2200,N,Y,N,Y,N,N,N,N,Worth-It
,Barat,Sukomanunggal,203,210,5,3,2,"Rp2,340,000,000",Belum,Barat,Tengah,6,0,Y,N,3500,N,Y,N,N,N,N,N,N,Worth-It
,Utara,Krembangan,250,250,5,4,2,"Rp5,000,000,000",Belum,Timur,Tengah,6,0,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Timur,Sukolilo,91,135,2,3,2,"Rp2,700,000,000",Belum,Selatan,Tengah,6,0,Y,N,2200,N,N,N,N,N,N,N,N,Not Worth-It
,Timur,Tenggilis Mejoyo,347,280,7,3,2,"Rp2,590,000,000",Belum,Selatan,Tengah,6,2,Y,N,2200,N,N,Y,N,N,N,N,N,Not Worth-It
,Selatan,Gayungan,150,176,5,3,2,"Rp2,400,000,000",Belum,Barat,Tengah,6,2,Y,N,5500,N,N,N,N,N,N,N,N,Worth-It
,Pusat,Genteng,92,65,2,2,1,"Rp875,000,000",Belum,Timur,Tengah,6,1,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Selatan,Sawahan,100,200,3,2,2,"Rp3,900,000,000",Belum,Utara,Tengah,6,0,N,N,2200,N,N,N,N,N,N,N,N,Not Worth-It
,Timur,Mulyorejo,140,218,5,5,2,"Rp3,800,000,000",Belum,Selatan,Tengah,3,0,N,N,2200,N,Y,N,N,N,N,N,Y,Not Worth-It
,Timur,Mulyorejo,140,218,5,5,2,"Rp3,800,000,000",Belum,Timur,Tengah,3,0,N,N,2200,N,Y,N,N,N,N,N,Y,Not Worth-It
,Pusat,Genteng,128,295,5,4,2,"Rp4,750,000,000",Belum,Selatan,Tengah,6,0,N,N,2200,N,N,N,N,N,N,N,N,Not Worth-It
,Pusat,Genteng,125,147,4,4,2,"Rp1,800,000,000",Belum,Barat,Tengah,6,1,N,Y,2200,N,N,N,N,N,N,N,N,Worth-It
,Utara,Bulak,90,135,5,4,2,"Rp1,950,000,000",Belum,Selatan,Tengah,4,2,N,N,2200,N,N,N,N,N,N,N,N,Not Worth-It
,Pusat,Genteng,160,94,5,4,2,"Rp1,750,000,000",Belum,Utara,Tengah,6,2,Y,N,2200,N,N,N,N,Y,N,N,N,Worth-It
,Pusat,Genteng,110,110,4,4,2,"Rp1,800,000,000",Belum,Selatan,Tengah,4,2,Y,N,2200,N,N,N,N,N,N,N,N,Not Worth-It
,Timur,Mulyorejo,72,97,3,2,2,"Rp2,500,000,000",Belum,Selatan,Tengah,8,2,N,N,2200,N,N,N,N,N,N,N,N,Not Worth-It
,Utara,Kenjeran,102,101,4,3,2,"Rp1,699,000,000",Belum,Selatan,Tengah,8,2,N,N,5500,N,N,N,N,N,N,N,N,Worth-It
,Barat,Pakal,120,150,3,1,2,"Rp1,700,000,000",Belum,Selatan,Tengah,4,2,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Timur,Mulyorejo,120,200,3,3,2,"Rp2,600,000,000",Belum,Barat,Tengah,4,1,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Barat,Sambikerep,104,145,3,3,2,"Rp2,000,000,000",Belum,Barat,Tengah,8,2,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Barat,Pakal,103,150,4,4,2,"Rp1,100,000,000",Belum,Selatan,Hook,6,0,Y,Y ,3300,N,N,N,N,N,N,N,N,Worth-It
,Timur,Sukolilo,126,126,3,3,2,"Rp1,500,000,000",Belum,Timur,Tengah,3,1,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Barat,Lakarsantri,139,94,3,1,1,"Rp1,200,000,000",Belum,Utara,Tengah,8,2,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Barat,Wiyung,90,180,2,2,2,"Rp1,100,000,000",Belum,Selatan,Tengah,8,1,Y,N,3500,N,N,N,N,N,N,N,N,Worth-It
,Utara,Kenjeran,200,200,3,2,1,"Rp2,000,000,000",Belum,Utara,Tengah,6,1,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Pusat,Gubeng,132,132,4,2,1,"Rp1,550,000,000",Belum,Selatan,Tengah,6,0,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Barat,Tandes,97,72,3,1,1,"Rp610,000,000",Belum,Selatan,Tengah,6,0,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Barat,Karangpilang,105,140,4,3,2,"Rp960,000,000",Belum,Selatan,Tengah,8,2,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Barat,Wiyung,166,200,3,4,2,"Rp2,400,000,000",Belum,Utara,Tengah,8,2,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Barat,Sukomanunggal,225,162,4,1,1,"Rp2,700,000,000",Belum,Timur,Tengah,7,1,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Barat,Sambikerep,290,136,4,1,2,"Rp3,500,000,000",Belum,Selatan,Tengah,7,2,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Barat,Lakarsantri,240,76,4,1,2,"Rp2,600,000,000",Belum,Selatan,Tengah,7,2,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Barat,Sukomanunggal,126,126,4,3,2,"Rp1,400,000,000",Belum,Utara,Tengah,6,1,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Barat,Tandes,146,108,4,3,2,"Rp1,500,000,000",Belum,Timur,Tengah,6,0,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Timur,Rungkut,150,300,4,3,2,"Rp1,550,000,000",Belum,Utara,Tengah,5,1,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Timur,Sukolilo,100,100,5,4,1,"Rp1,800,000,000",Belum,Selatan,Tengah,6,0,Y,N,2200,N,N,N,N,N,N,N,N,Not Worth-It
,Barat,Pakal,72,90,2,1,1,"Rp385,000,000",Belum,Selatan,Tengah,6,1,Y,N,1300,N,N,N,N,N,N,N,N,Worth-It
,Barat,Lakarsantri,90,60,2,2,2,"Rp1,100,000,000",Belum,Selatan,Tengah,8,1,Y,N,3500,N,N,N,N,N,N,N,N,Worth-It
